coordinates,footprint,product_name,success,error,part,filename,acquisition_date,end_date,satellite,swath_mode,polarization,orbit_num,data_take
"[[[-64.0196, 1.5274], [-63.3206, 1.6278], [-63.6466, 3.1756], [-64.3463, 3.0759], [-64.0196, 1.5274]]]",,S1A_S1_RAW__0SVH_2024-12-03T22:24:28_2024-12-03T22:24:53_056834_06FA6A,False,,PT1,s1a-s1-raw-s-vh-20241203t222428-20241203t222453-056834-06fa6a.zarr,2024-12-03T22:24:28,2024-12-03T22:24:53,S1A,S1,VH,056834,06fa6a
"[[[-93.3164, -5.7587], [-92.6136, -5.6541], [-93.0815, -3.503], [-93.782, -3.6061], [-93.3164, -5.7587]]]",,S1A_S1_RAW__0SVH_2025-02-17T00:25:48_2025-02-17T00:26:23_057928_0725D8,False,,PT1,s1a-s1-raw-s-vh-20250217t002548-20250217t002623-057928-0725d8.zarr,2025-02-17T00:25:48,2025-02-17T00:26:23,S1A,S1,VH,057928,0725d8
"[[[55.5914, -5.6737], [55.9264, -4.1269], [55.2253, -4.0234], [54.8886, -5.5691], [55.5914, -5.6737]]]",,S1A_S1_RAW__0SVH_2025-03-19T02:07:21_2025-03-19T02:07:46_058367_073788,False,,PT1,s1a-s1-raw-s-vh-20250319t020721-20250319t020746-058367-073788.zarr,2025-03-19T02:07:21,2025-03-19T02:07:46,S1A,S1,VH,058367,073788
"[[[-95.382, 28.815], [-95.0186, 30.3596], [-95.8287, 30.4598], [-96.1797, 28.9144], [-95.382, 28.815]]]",,S1A_S1_RAW__0SVH_2025-04-25T12:31:27_2025-04-25T12:31:53_058913_074DB2,False,,PT1,s1a-s1-raw-s-vh-20250425t123127-20250425t123153-058913-074db2.zarr,2025-04-25T12:31:27,2025-04-25T12:31:53,S1A,S1,VH,058913,074db2
"[[[-95.381, 28.8152], [-95.0174, 30.3598], [-95.8275, 30.4601], [-96.1786, 28.9147], [-95.381, 28.8152]]]",,S1A_S1_RAW__0SVV_2023-03-31T12:31:29_2023-03-31T12:31:54_047888_05C119,False,,PT1,s1a-s1-raw-s-vv-20230331t123129-20230331t123154-047888-05c119.zarr,2023-03-31T12:31:29,2023-03-31T12:31:54,S1A,S1,VV,047888,05c119
"[[[55.5914, -5.6733], [55.9263, -4.1265], [55.2252, -4.023], [54.8885, -5.5687], [55.5914, -5.6733]]]",,S1A_S1_RAW__0SVV_2023-04-23T02:07:23_2023-04-23T02:07:49_048217_05CC37,False,,PT1,s1a-s1-raw-s-vv-20230423t020723-20230423t020749-048217-05cc37.zarr,2023-04-23T02:07:23,2023-04-23T02:07:49,S1A,S1,VV,048217,05cc37
"[[[55.5908, -5.672], [55.9257, -4.1252], [55.2245, -4.0217], [54.8879, -5.5674], [55.5908, -5.672]]]",,S1A_S1_RAW__0SVV_2023-05-05T02:07:24_2023-05-05T02:07:49_048392_05D21B,False,,PT1,s1a-s1-raw-s-vv-20230505t020724-20230505t020749-048392-05d21b.zarr,2023-05-05T02:07:24,2023-05-05T02:07:49,S1A,S1,VV,048392,05d21b
"[[[-95.3827, 28.8149], [-95.0192, 30.3596], [-95.8293, 30.4598], [-96.1803, 28.9144], [-95.3827, 28.8149]]]",,S1A_S1_RAW__0SVV_2023-05-30T12:31:31_2023-05-30T12:31:57_048763_05DD44,False,,PT1,s1a-s1-raw-s-vv-20230530t123131-20230530t123157-048763-05dd44.zarr,2023-05-30T12:31:31,2023-05-30T12:31:57,S1A,S1,VV,048763,05dd44
"[[[55.5913, -5.6731], [55.9262, -4.1264], [55.225, -4.0228], [54.8884, -5.5686], [55.5913, -5.6731]]]",,S1A_S1_RAW__0SVV_2023-07-04T02:07:27_2023-07-04T02:07:53_049267_05EC9B,False,,PT1,s1a-s1-raw-s-vv-20230704t020727-20230704t020753-049267-05ec9b.zarr,2023-07-04T02:07:27,2023-07-04T02:07:53,S1A,S1,VV,049267,05ec9b
"[[[55.5903, -5.6732], [55.9252, -4.1264], [55.2241, -4.0229], [54.8874, -5.5686], [55.5903, -5.6732]]]",,S1A_S1_RAW__0SVV_2023-07-16T02:07:28_2023-07-16T02:07:54_049442_05F206,False,,PT1,s1a-s1-raw-s-vv-20230716t020728-20230716t020754-049442-05f206.zarr,2023-07-16T02:07:28,2023-07-16T02:07:54,S1A,S1,VV,049442,05f206
"[[[-95.3816, 28.8149], [-95.0181, 30.3595], [-95.8282, 30.4597], [-96.1793, 28.9144], [-95.3816, 28.8149]]]",,S1A_S1_RAW__0SVV_2023-09-15T12:31:37_2023-09-15T12:32:03_050338_060F7D,False,,PT1,s1a-s1-raw-s-vv-20230915t123137-20230915t123203-050338-060f7d.zarr,2023-09-15T12:31:37,2023-09-15T12:32:03,S1A,S1,VV,050338,060f7d
"[[[-95.38, 28.8169], [-95.0165, 30.3615], [-95.8266, 30.4617], [-96.1777, 28.9164], [-95.38, 28.8169]]]",,S1A_S1_RAW__0SVV_2023-11-26T12:31:36_2023-11-26T12:32:02_051388_063383,False,,PT1,s1a-s1-raw-s-vv-20231126t123136-20231126t123202-051388-063383.zarr,2023-11-26T12:31:36,2023-11-26T12:32:02,S1A,S1,VV,051388,063383
"[[[55.5907, -5.6728], [55.9257, -4.1261], [55.2246, -4.0225], [54.8879, -5.5682], [55.5907, -5.6728]]]",,S1A_S1_RAW__0SVV_2023-12-31T02:07:29_2023-12-31T02:07:55_051892_0644FE,False,,PT1,s1a-s1-raw-s-vv-20231231t020729-20231231t020755-051892-0644fe.zarr,2023-12-31T02:07:29,2023-12-31T02:07:55,S1A,S1,VV,051892,0644fe
"[[[-95.3811, 28.8152], [-95.0175, 30.3598], [-95.8277, 30.46], [-96.1788, 28.9147], [-95.3811, 28.8152]]]",,S1A_S1_RAW__0SVV_2024-02-18T12:31:33_2024-02-18T12:31:59_052613_065D56,False,,PT1,s1a-s1-raw-s-vv-20240218t123133-20240218t123159-052613-065d56.zarr,2024-02-18T12:31:33,2024-02-18T12:31:59,S1A,S1,VV,052613,065d56
"[[[55.5908, -5.6733], [55.9257, -4.1266], [55.2246, -4.023], [54.8879, -5.5688], [55.5908, -5.6733]]]",,S1A_S1_RAW__0SVV_2024-04-29T02:07:29_2024-04-29T02:07:54_053642_0683A3,False,,PT1,s1a-s1-raw-s-vv-20240429t020729-20240429t020754-053642-0683a3.zarr,2024-04-29T02:07:29,2024-04-29T02:07:54,S1A,S1,VV,053642,0683a3
"[[[55.591, -5.6729], [55.9258, -4.1262], [55.2247, -4.0227], [54.8881, -5.5684], [55.591, -5.6729]]]",,S1A_S1_RAW__0SVV_2024-06-16T02:07:28_2024-06-16T02:07:53_054342_069C6A,False,,PT1,s1a-s1-raw-s-vv-20240616t020728-20240616t020753-054342-069c6a.zarr,2024-06-16T02:07:28,2024-06-16T02:07:53,S1A,S1,VV,054342,069c6a
"[[[-95.3821, 28.8155], [-95.0186, 30.3602], [-95.8288, 30.4604], [-96.1797, 28.915], [-95.3821, 28.8155]]]",,S1A_S1_RAW__0SVV_2024-06-29T12:31:33_2024-06-29T12:31:59_054538_06A32D,False,,PT1,s1a-s1-raw-s-vv-20240629t123133-20240629t123159-054538-06a32d.zarr,2024-06-29T12:31:33,2024-06-29T12:31:59,S1A,S1,VV,054538,06a32d
"[[[-64.0445, 1.649], [-63.3454, 1.7493], [-63.4803, 2.3893], [-64.1797, 2.2892], [-64.0445, 1.649]]]",,S1A_S1_RAW__0SVV_2024-09-10T22:24:30_2024-09-10T22:24:41_055609_06C9DC,False,,PT1,s1a-s1-raw-s-vv-20240910t222430-20240910t222441-055609-06c9dc.zarr,2024-09-10T22:24:30,2024-09-10T22:24:41,S1A,S1,VV,055609,06c9dc
"[[[-95.3804, 28.8145], [-95.0169, 30.3592], [-95.8269, 30.4594], [-96.1781, 28.914], [-95.3804, 28.8145]]]",,S1A_S1_RAW__0SVV_2024-09-21T12:31:33_2024-09-21T12:31:59_055763_06CFE3,False,,PT1,s1a-s1-raw-s-vv-20240921t123133-20240921t123159-055763-06cfe3.zarr,2024-09-21T12:31:33,2024-09-21T12:31:59,S1A,S1,VV,055763,06cfe3
"[[[-95.3805, 28.8149], [-95.0169, 30.3595], [-95.8271, 30.4598], [-96.1782, 28.9144], [-95.3805, 28.8149]]]",,S1A_S1_RAW__0SVV_2024-10-27T12:31:34_2024-10-27T12:31:59_056288_06E4AC,False,,PT1,s1a-s1-raw-s-vv-20241027t123134-20241027t123159-056288-06e4ac.zarr,2024-10-27T12:31:34,2024-10-27T12:31:59,S1A,S1,VV,056288,06e4ac
"[[[-64.0335, 1.5942], [-63.3344, 1.6946], [-63.6604, 3.2424], [-64.3602, 3.1427], [-64.0335, 1.5942]]]",,S1A_S1_RAW__0SVV_2024-11-09T22:24:30_2024-11-09T22:24:56_056484_06EC6F,False,,PT1,s1a-s1-raw-s-vv-20241109t222430-20241109t222456-056484-06ec6f.zarr,2024-11-09T22:24:30,2024-11-09T22:24:56,S1A,S1,VV,056484,06ec6f
"[[[-64.0196, 1.5274], [-63.3206, 1.6278], [-63.6466, 3.1756], [-64.3463, 3.0759], [-64.0196, 1.5274]]]",,S1A_S1_RAW__0SVV_2024-12-03T22:24:28_2024-12-03T22:24:53_056834_06FA6A,False,,PT1,s1a-s1-raw-s-vv-20241203t222428-20241203t222453-056834-06fa6a.zarr,2024-12-03T22:24:28,2024-12-03T22:24:53,S1A,S1,VV,056834,06fa6a
