coordinates,footprint,product_name,success,error,part,filename,acquisition_date,end_date,satellite,swath_mode,polarization,orbit_num,data_take
"[[[-88.2857, 40.6066], [-87.7643, 42.4446], [-88.7124, 42.5552], [-89.2072, 40.715], [-88.2857, 40.6066]]]",,S1A_S1_RAW__0SHV_2023-05-08T12:11:42_2023-05-08T12:12:13_048442_05D3C0,False,,PT1,s1a-s1-raw-s-hv-20230508t121142-20230508t121213-048442-05d3c0.zarr,2023-05-08T12:11:42,2023-05-08T12:12:13,S1A,S1,HV,048442,05d3c0
"[[[-88.2848, 40.6066], [-87.7634, 42.4446], [-88.7115, 42.5553], [-89.2064, 40.7151], [-88.2848, 40.6066]]]",,S1A_S1_RAW__0SHV_2023-07-31T12:11:47_2023-07-31T12:12:17_049667_05F8F1,False,,PT1,s1a-s1-raw-s-hv-20230731t121147-20230731t121217-049667-05f8f1.zarr,2023-07-31T12:11:47,2023-07-31T12:12:17,S1A,S1,HV,049667,05f8f1
"[[[-88.2837, 40.6067], [-87.7622, 42.4447], [-88.7104, 42.5553], [-89.2053, 40.7152], [-88.2837, 40.6067]]]",,S1A_S1_RAW__0SHV_2024-01-03T12:11:47_2024-01-03T12:12:17_051942_0646AC,False,,PT1,s1a-s1-raw-s-hv-20240103t121147-20240103t121217-051942-0646ac.zarr,2024-01-03T12:11:47,2024-01-03T12:12:17,S1A,S1,HV,051942,0646ac
"[[[46.0918, -12.8701], [46.8097, -12.7595], [46.593, -11.8203], [45.8777, -11.93], [46.0918, -12.8701]]]",,S1A_S1_RAW__0SHV_2024-01-30T15:12:39_2024-01-30T15:12:54_052337_06541B,False,,PT1,s1a-s1-raw-s-hv-20240130t151239-20240130t151254-052337-06541b.zarr,2024-01-30T15:12:39,2024-01-30T15:12:54,S1A,S1,HV,052337,06541b
"[[[46.0902, -12.8699], [46.8082, -12.7593], [46.5915, -11.8201], [45.8762, -11.9298], [46.0902, -12.8699]]]",,S1A_S1_RAW__0SHV_2024-05-17T15:12:40_2024-05-17T15:12:55_053912_068D91,False,,PT1,s1a-s1-raw-s-hv-20240517t151240-20240517t151255-053912-068d91.zarr,2024-05-17T15:12:40,2024-05-17T15:12:55,S1A,S1,HV,053912,068d91
"[[[-88.2841, 40.6063], [-87.7626, 42.4443], [-88.7107, 42.5549], [-89.2055, 40.7147], [-88.2841, 40.6063]]]",,S1A_S1_RAW__0SHV_2024-08-30T12:11:44_2024-08-30T12:12:15_055442_06C352,False,,PT1,s1a-s1-raw-s-hv-20240830t121144-20240830t121215-055442-06c352.zarr,2024-08-30T12:11:44,2024-08-30T12:12:15,S1A,S1,HV,055442,06c352
"[[[-88.2839, 40.6056], [-87.7625, 42.4435], [-88.7107, 42.5542], [-89.2055, 40.7141], [-88.2839, 40.6056]]]",,S1A_S1_RAW__0SHV_2024-10-05T12:11:46_2024-10-05T12:12:16_055967_06D7FB,False,,PT1,s1a-s1-raw-s-hv-20241005t121146-20241005t121216-055967-06d7fb.zarr,2024-10-05T12:11:46,2024-10-05T12:12:16,S1A,S1,HV,055967,06d7fb
"[[[46.0899, -12.8694], [46.8078, -12.7588], [46.591, -11.8196], [45.8758, -11.9293], [46.0899, -12.8694]]]",,S1A_S1_RAW__0SHV_2024-10-08T15:12:39_2024-10-08T15:12:55_056012_06D9C9,False,,PT1,s1a-s1-raw-s-hv-20241008t151239-20241008t151255-056012-06d9c9.zarr,2024-10-08T15:12:39,2024-10-08T15:12:55,S1A,S1,HV,056012,06d9c9
"[[[46.0925, -12.8699], [46.8104, -12.7593], [46.5937, -11.8201], [45.8784, -11.9298], [46.0925, -12.8699]]]",,S1A_S1_RAW__0SHV_2024-11-25T15:12:37_2024-11-25T15:12:53_056712_06F59C,False,,PT1,s1a-s1-raw-s-hv-20241125t151237-20241125t151253-056712-06f59c.zarr,2024-11-25T15:12:37,2024-11-25T15:12:53,S1A,S1,HV,056712,06f59c
"[[[46.0924, -12.8698], [46.8104, -12.7593], [46.5936, -11.8201], [45.8784, -11.9297], [46.0924, -12.8698]]]",,S1A_S1_RAW__0SHV_2024-12-19T15:12:35_2024-12-19T15:12:51_057062_07037D,False,,PT1,s1a-s1-raw-s-hv-20241219t151235-20241219t151251-057062-07037d.zarr,2024-12-19T15:12:35,2024-12-19T15:12:51,S1A,S1,HV,057062,07037d
"[[[-88.2851, 40.6066], [-87.7638, 42.4446], [-88.712, 42.5553], [-89.2067, 40.7151], [-88.2851, 40.6066]]]",,S1A_S1_RAW__0SHV_2025-01-09T12:11:41_2025-01-09T12:12:11_057367_070F7E,False,,PT1,s1a-s1-raw-s-hv-20250109t121141-20250109t121211-057367-070f7e.zarr,2025-01-09T12:11:41,2025-01-09T12:12:11,S1A,S1,HV,057367,070f7e
"[[[-92.653, -8.7808], [-91.9452, -8.6739], [-92.3837, -6.6993], [-93.088, -6.8047], [-92.653, -8.7808]]]",,S1A_S1_RAW__0SHV_2025-01-24T00:24:34_2025-01-24T00:25:06_057578_0717E3,False,,PT1,s1a-s1-raw-s-hv-20250124t002434-20250124t002506-057578-0717e3.zarr,2025-01-24T00:24:34,2025-01-24T00:25:06,S1A,S1,HV,057578,0717e3
"[[[-95.381, 28.8152], [-95.0174, 30.3598], [-95.8275, 30.4601], [-96.1786, 28.9147], [-95.381, 28.8152]]]",,S1A_S1_RAW__0SVH_2023-03-31T12:31:29_2023-03-31T12:31:54_047888_05C119,False,,PT1,s1a-s1-raw-s-vh-20230331t123129-20230331t123154-047888-05c119.zarr,2023-03-31T12:31:29,2023-03-31T12:31:54,S1A,S1,VH,047888,05c119
"[[[55.5914, -5.6733], [55.9263, -4.1265], [55.2252, -4.023], [54.8885, -5.5687], [55.5914, -5.6733]]]",,S1A_S1_RAW__0SVH_2023-04-23T02:07:23_2023-04-23T02:07:49_048217_05CC37,False,,PT1,s1a-s1-raw-s-vh-20230423t020723-20230423t020749-048217-05cc37.zarr,2023-04-23T02:07:23,2023-04-23T02:07:49,S1A,S1,VH,048217,05cc37
"[[[55.5908, -5.672], [55.9257, -4.1252], [55.2245, -4.0217], [54.8879, -5.5674], [55.5908, -5.672]]]",,S1A_S1_RAW__0SVH_2023-05-05T02:07:24_2023-05-05T02:07:49_048392_05D21B,False,,PT1,s1a-s1-raw-s-vh-20230505t020724-20230505t020749-048392-05d21b.zarr,2023-05-05T02:07:24,2023-05-05T02:07:49,S1A,S1,VH,048392,05d21b
"[[[-95.3827, 28.8149], [-95.0192, 30.3596], [-95.8293, 30.4598], [-96.1803, 28.9144], [-95.3827, 28.8149]]]",,S1A_S1_RAW__0SVH_2023-05-30T12:31:31_2023-05-30T12:31:57_048763_05DD44,False,,PT1,s1a-s1-raw-s-vh-20230530t123131-20230530t123157-048763-05dd44.zarr,2023-05-30T12:31:31,2023-05-30T12:31:57,S1A,S1,VH,048763,05dd44
"[[[55.5913, -5.6731], [55.9262, -4.1264], [55.225, -4.0228], [54.8884, -5.5686], [55.5913, -5.6731]]]",,S1A_S1_RAW__0SVH_2023-07-04T02:07:27_2023-07-04T02:07:53_049267_05EC9B,False,,PT1,s1a-s1-raw-s-vh-20230704t020727-20230704t020753-049267-05ec9b.zarr,2023-07-04T02:07:27,2023-07-04T02:07:53,S1A,S1,VH,049267,05ec9b
"[[[55.5903, -5.6732], [55.9252, -4.1264], [55.2241, -4.0229], [54.8874, -5.5686], [55.5903, -5.6732]]]",,S1A_S1_RAW__0SVH_2023-07-16T02:07:28_2023-07-16T02:07:54_049442_05F206,False,,PT1,s1a-s1-raw-s-vh-20230716t020728-20230716t020754-049442-05f206.zarr,2023-07-16T02:07:28,2023-07-16T02:07:54,S1A,S1,VH,049442,05f206
"[[[-95.3816, 28.8149], [-95.0181, 30.3595], [-95.8282, 30.4597], [-96.1793, 28.9144], [-95.3816, 28.8149]]]",,S1A_S1_RAW__0SVH_2023-09-15T12:31:37_2023-09-15T12:32:03_050338_060F7D,False,,PT1,s1a-s1-raw-s-vh-20230915t123137-20230915t123203-050338-060f7d.zarr,2023-09-15T12:31:37,2023-09-15T12:32:03,S1A,S1,VH,050338,060f7d
"[[[-95.38, 28.8169], [-95.0165, 30.3615], [-95.8266, 30.4617], [-96.1777, 28.9164], [-95.38, 28.8169]]]",,S1A_S1_RAW__0SVH_2023-11-26T12:31:36_2023-11-26T12:32:02_051388_063383,False,,PT1,s1a-s1-raw-s-vh-20231126t123136-20231126t123202-051388-063383.zarr,2023-11-26T12:31:36,2023-11-26T12:32:02,S1A,S1,VH,051388,063383
"[[[55.5907, -5.6728], [55.9257, -4.1261], [55.2246, -4.0225], [54.8879, -5.5682], [55.5907, -5.6728]]]",,S1A_S1_RAW__0SVH_2023-12-31T02:07:29_2023-12-31T02:07:55_051892_0644FE,False,,PT1,s1a-s1-raw-s-vh-20231231t020729-20231231t020755-051892-0644fe.zarr,2023-12-31T02:07:29,2023-12-31T02:07:55,S1A,S1,VH,051892,0644fe
"[[[-95.3811, 28.8152], [-95.0175, 30.3598], [-95.8277, 30.46], [-96.1788, 28.9147], [-95.3811, 28.8152]]]",,S1A_S1_RAW__0SVH_2024-02-18T12:31:33_2024-02-18T12:31:59_052613_065D56,False,,PT1,s1a-s1-raw-s-vh-20240218t123133-20240218t123159-052613-065d56.zarr,2024-02-18T12:31:33,2024-02-18T12:31:59,S1A,S1,VH,052613,065d56
"[[[55.5908, -5.6733], [55.9257, -4.1266], [55.2246, -4.023], [54.8879, -5.5688], [55.5908, -5.6733]]]",,S1A_S1_RAW__0SVH_2024-04-29T02:07:29_2024-04-29T02:07:54_053642_0683A3,False,,PT1,s1a-s1-raw-s-vh-20240429t020729-20240429t020754-053642-0683a3.zarr,2024-04-29T02:07:29,2024-04-29T02:07:54,S1A,S1,VH,053642,0683a3
"[[[55.591, -5.6729], [55.9258, -4.1262], [55.2247, -4.0227], [54.8881, -5.5684], [55.591, -5.6729]]]",,S1A_S1_RAW__0SVH_2024-06-16T02:07:28_2024-06-16T02:07:53_054342_069C6A,False,,PT1,s1a-s1-raw-s-vh-20240616t020728-20240616t020753-054342-069c6a.zarr,2024-06-16T02:07:28,2024-06-16T02:07:53,S1A,S1,VH,054342,069c6a
"[[[-95.3821, 28.8155], [-95.0186, 30.3602], [-95.8288, 30.4604], [-96.1797, 28.915], [-95.3821, 28.8155]]]",,S1A_S1_RAW__0SVH_2024-06-29T12:31:33_2024-06-29T12:31:59_054538_06A32D,False,,PT1,s1a-s1-raw-s-vh-20240629t123133-20240629t123159-054538-06a32d.zarr,2024-06-29T12:31:33,2024-06-29T12:31:59,S1A,S1,VH,054538,06a32d
"[[[-64.0445, 1.649], [-63.3454, 1.7493], [-63.4803, 2.3893], [-64.1797, 2.2892], [-64.0445, 1.649]]]",,S1A_S1_RAW__0SVH_2024-09-10T22:24:30_2024-09-10T22:24:41_055609_06C9DC,False,,PT1,s1a-s1-raw-s-vh-20240910t222430-20240910t222441-055609-06c9dc.zarr,2024-09-10T22:24:30,2024-09-10T22:24:41,S1A,S1,VH,055609,06c9dc
"[[[-95.3804, 28.8145], [-95.0169, 30.3592], [-95.8269, 30.4594], [-96.1781, 28.914], [-95.3804, 28.8145]]]",,S1A_S1_RAW__0SVH_2024-09-21T12:31:33_2024-09-21T12:31:59_055763_06CFE3,False,,PT1,s1a-s1-raw-s-vh-20240921t123133-20240921t123159-055763-06cfe3.zarr,2024-09-21T12:31:33,2024-09-21T12:31:59,S1A,S1,VH,055763,06cfe3
"[[[-95.3805, 28.8149], [-95.0169, 30.3595], [-95.8271, 30.4598], [-96.1782, 28.9144], [-95.3805, 28.8149]]]",,S1A_S1_RAW__0SVH_2024-10-27T12:31:34_2024-10-27T12:31:59_056288_06E4AC,False,,PT1,s1a-s1-raw-s-vh-20241027t123134-20241027t123159-056288-06e4ac.zarr,2024-10-27T12:31:34,2024-10-27T12:31:59,S1A,S1,VH,056288,06e4ac
"[[[-64.0335, 1.5942], [-63.3344, 1.6946], [-63.6604, 3.2424], [-64.3602, 3.1427], [-64.0335, 1.5942]]]",,S1A_S1_RAW__0SVH_2024-11-09T22:24:30_2024-11-09T22:24:56_056484_06EC6F,False,,PT1,s1a-s1-raw-s-vh-20241109t222430-20241109t222456-056484-06ec6f.zarr,2024-11-09T22:24:30,2024-11-09T22:24:56,S1A,S1,VH,056484,06ec6f
