source,repo,part,filename,full_path,location,data_collection_timestamp
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20230508t121142-20230508t121213-048442-05d3c0.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20230508t121142-20230508t121213-048442-05d3c0.zarr,"{'type': 'Polygon', 'coordinates': [[[-88.2857, 40.6066], [-87.7643, 42.4446], [-88.7124, 42.5552], [-89.2072, 40.715], [-88.2857, 40.6066]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20230731t121147-20230731t121217-049667-05f8f1.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20230731t121147-20230731t121217-049667-05f8f1.zarr,"{'type': 'Polygon', 'coordinates': [[[-88.2848, 40.6066], [-87.7634, 42.4446], [-88.7115, 42.5553], [-89.2064, 40.7151], [-88.2848, 40.6066]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20240103t121147-20240103t121217-051942-0646ac.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20240103t121147-20240103t121217-051942-0646ac.zarr,"{'type': 'Polygon', 'coordinates': [[[-88.2837, 40.6067], [-87.7622, 42.4447], [-88.7104, 42.5553], [-89.2053, 40.7152], [-88.2837, 40.6067]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20240130t151239-20240130t151254-052337-06541b.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20240130t151239-20240130t151254-052337-06541b.zarr,"{'type': 'Polygon', 'coordinates': [[[46.0918, -12.8701], [46.8097, -12.7595], [46.593, -11.8203], [45.8777, -11.93], [46.0918, -12.8701]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20240517t151240-20240517t151255-053912-068d91.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20240517t151240-20240517t151255-053912-068d91.zarr,"{'type': 'Polygon', 'coordinates': [[[46.0902, -12.8699], [46.8082, -12.7593], [46.5915, -11.8201], [45.8762, -11.9298], [46.0902, -12.8699]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20240830t121144-20240830t121215-055442-06c352.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20240830t121144-20240830t121215-055442-06c352.zarr,"{'type': 'Polygon', 'coordinates': [[[-88.2841, 40.6063], [-87.7626, 42.4443], [-88.7107, 42.5549], [-89.2055, 40.7147], [-88.2841, 40.6063]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20241005t121146-20241005t121216-055967-06d7fb.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20241005t121146-20241005t121216-055967-06d7fb.zarr,"{'type': 'Polygon', 'coordinates': [[[-88.2839, 40.6056], [-87.7625, 42.4435], [-88.7107, 42.5542], [-89.2055, 40.7141], [-88.2839, 40.6056]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20241008t151239-20241008t151255-056012-06d9c9.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20241008t151239-20241008t151255-056012-06d9c9.zarr,"{'type': 'Polygon', 'coordinates': [[[46.0899, -12.8694], [46.8078, -12.7588], [46.591, -11.8196], [45.8758, -11.9293], [46.0899, -12.8694]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20241125t151237-20241125t151253-056712-06f59c.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20241125t151237-20241125t151253-056712-06f59c.zarr,"{'type': 'Polygon', 'coordinates': [[[46.0925, -12.8699], [46.8104, -12.7593], [46.5937, -11.8201], [45.8784, -11.9298], [46.0925, -12.8699]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20241219t151235-20241219t151251-057062-07037d.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20241219t151235-20241219t151251-057062-07037d.zarr,"{'type': 'Polygon', 'coordinates': [[[46.0924, -12.8698], [46.8104, -12.7593], [46.5936, -11.8201], [45.8784, -11.9297], [46.0924, -12.8698]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20250109t121141-20250109t121211-057367-070f7e.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20250109t121141-20250109t121211-057367-070f7e.zarr,"{'type': 'Polygon', 'coordinates': [[[-88.2851, 40.6066], [-87.7638, 42.4446], [-88.712, 42.5553], [-89.2067, 40.7151], [-88.2851, 40.6066]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-hv-20250124t002434-20250124t002506-057578-0717e3.zarr,hf://Maya4/PT1/s1a-s1-raw-s-hv-20250124t002434-20250124t002506-057578-0717e3.zarr,"{'type': 'Polygon', 'coordinates': [[[-92.653, -8.7808], [-91.9452, -8.6739], [-92.3837, -6.6993], [-93.088, -6.8047], [-92.653, -8.7808]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20230331t123129-20230331t123154-047888-05c119.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20230331t123129-20230331t123154-047888-05c119.zarr,"{'type': 'Polygon', 'coordinates': [[[-95.381, 28.8152], [-95.0174, 30.3598], [-95.8275, 30.4601], [-96.1786, 28.9147], [-95.381, 28.8152]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20230423t020723-20230423t020749-048217-05cc37.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20230423t020723-20230423t020749-048217-05cc37.zarr,"{'type': 'Polygon', 'coordinates': [[[55.5914, -5.6733], [55.9263, -4.1265], [55.2252, -4.023], [54.8885, -5.5687], [55.5914, -5.6733]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20230505t020724-20230505t020749-048392-05d21b.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20230505t020724-20230505t020749-048392-05d21b.zarr,"{'type': 'Polygon', 'coordinates': [[[55.5908, -5.672], [55.9257, -4.1252], [55.2245, -4.0217], [54.8879, -5.5674], [55.5908, -5.672]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20230530t123131-20230530t123157-048763-05dd44.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20230530t123131-20230530t123157-048763-05dd44.zarr,"{'type': 'Polygon', 'coordinates': [[[-95.3827, 28.8149], [-95.0192, 30.3596], [-95.8293, 30.4598], [-96.1803, 28.9144], [-95.3827, 28.8149]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20230704t020727-20230704t020753-049267-05ec9b.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20230704t020727-20230704t020753-049267-05ec9b.zarr,"{'type': 'Polygon', 'coordinates': [[[55.5913, -5.6731], [55.9262, -4.1264], [55.225, -4.0228], [54.8884, -5.5686], [55.5913, -5.6731]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20230716t020728-20230716t020754-049442-05f206.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20230716t020728-20230716t020754-049442-05f206.zarr,"{'type': 'Polygon', 'coordinates': [[[55.5903, -5.6732], [55.9252, -4.1264], [55.2241, -4.0229], [54.8874, -5.5686], [55.5903, -5.6732]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20230915t123137-20230915t123203-050338-060f7d.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20230915t123137-20230915t123203-050338-060f7d.zarr,"{'type': 'Polygon', 'coordinates': [[[-95.3816, 28.8149], [-95.0181, 30.3595], [-95.8282, 30.4597], [-96.1793, 28.9144], [-95.3816, 28.8149]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20231126t123136-20231126t123202-051388-063383.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20231126t123136-20231126t123202-051388-063383.zarr,"{'type': 'Polygon', 'coordinates': [[[-95.38, 28.8169], [-95.0165, 30.3615], [-95.8266, 30.4617], [-96.1777, 28.9164], [-95.38, 28.8169]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20231231t020729-20231231t020755-051892-0644fe.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20231231t020729-20231231t020755-051892-0644fe.zarr,"{'type': 'Polygon', 'coordinates': [[[55.5907, -5.6728], [55.9257, -4.1261], [55.2246, -4.0225], [54.8879, -5.5682], [55.5907, -5.6728]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20240218t123133-20240218t123159-052613-065d56.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20240218t123133-20240218t123159-052613-065d56.zarr,"{'type': 'Polygon', 'coordinates': [[[-95.3811, 28.8152], [-95.0175, 30.3598], [-95.8277, 30.46], [-96.1788, 28.9147], [-95.3811, 28.8152]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20240429t020729-20240429t020754-053642-0683a3.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20240429t020729-20240429t020754-053642-0683a3.zarr,"{'type': 'Polygon', 'coordinates': [[[55.5908, -5.6733], [55.9257, -4.1266], [55.2246, -4.023], [54.8879, -5.5688], [55.5908, -5.6733]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20240616t020728-20240616t020753-054342-069c6a.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20240616t020728-20240616t020753-054342-069c6a.zarr,"{'type': 'Polygon', 'coordinates': [[[55.591, -5.6729], [55.9258, -4.1262], [55.2247, -4.0227], [54.8881, -5.5684], [55.591, -5.6729]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20240629t123133-20240629t123159-054538-06a32d.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20240629t123133-20240629t123159-054538-06a32d.zarr,"{'type': 'Polygon', 'coordinates': [[[-95.3821, 28.8155], [-95.0186, 30.3602], [-95.8288, 30.4604], [-96.1797, 28.915], [-95.3821, 28.8155]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20240910t222430-20240910t222441-055609-06c9dc.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20240910t222430-20240910t222441-055609-06c9dc.zarr,"{'type': 'Polygon', 'coordinates': [[[-64.0445, 1.649], [-63.3454, 1.7493], [-63.4803, 2.3893], [-64.1797, 2.2892], [-64.0445, 1.649]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20240921t123133-20240921t123159-055763-06cfe3.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20240921t123133-20240921t123159-055763-06cfe3.zarr,"{'type': 'Polygon', 'coordinates': [[[-95.3804, 28.8145], [-95.0169, 30.3592], [-95.8269, 30.4594], [-96.1781, 28.914], [-95.3804, 28.8145]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20241027t123134-20241027t123159-056288-06e4ac.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20241027t123134-20241027t123159-056288-06e4ac.zarr,"{'type': 'Polygon', 'coordinates': [[[-95.3805, 28.8149], [-95.0169, 30.3595], [-95.8271, 30.4598], [-96.1782, 28.9144], [-95.3805, 28.8149]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20241109t222430-20241109t222456-056484-06ec6f.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20241109t222430-20241109t222456-056484-06ec6f.zarr,"{'type': 'Polygon', 'coordinates': [[[-64.0335, 1.5942], [-63.3344, 1.6946], [-63.6604, 3.2424], [-64.3602, 3.1427], [-64.0335, 1.5942]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20241203t222428-20241203t222453-056834-06fa6a.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20241203t222428-20241203t222453-056834-06fa6a.zarr,"{'type': 'Polygon', 'coordinates': [[[-64.0196, 1.5274], [-63.3206, 1.6278], [-63.6466, 3.1756], [-64.3463, 3.0759], [-64.0196, 1.5274]]]}",2025-10-24T15:15:28.348738
remote_hf,Maya4/PT1,PT1,s1a-s1-raw-s-vh-20250217t002548-20250217t002623-057928-0725d8.zarr,hf://Maya4/PT1/s1a-s1-raw-s-vh-20250217t002548-20250217t002623-057928-0725d8.zarr,"{'type': 'Polygon', 'coordinates': [[[-93.3164, -5.7587], [-92.6136, -5.6541], [-93.0815, -3.503], [-93.782, -3.6061], [-93.3164, -5.7587]]]}",2025-10-24T15:15:28.348738
